NinjaScript File,Error,Code,Line,Column,
DataExtractorcs.cs,Argument 2: cannot convert from 'double' to 'int',CS1503,178,57,
DataExtractorcs.cs,'ChartControl' does not contain a definition for 'IndicatorPanels' and no accessible extension method 'IndicatorPanels' accepting a first argument of type 'ChartControl' could be found (are you missing a using directive or an assembly reference?),CS1061,238,42,
DataExtractorcs.cs,'ChartControl' does not contain a definition for 'IndicatorPanels' and no accessible extension method 'IndicatorPanels' accepting a first argument of type 'ChartControl' could be found (are you missing a using directive or an assembly reference?),CS1061,270,42,
DataExtractorcs.cs,The name 'IsLastBarOfSession' does not exist in the current context,CS0103,322,50,
DataExtractorcs.cs,Cannot implicitly convert type 'System.Collections.Generic.List<NinjaTrader.Gui.NinjaScript.IndicatorRenderBase>' to 'System.Collections.Generic.List<NinjaTrader.NinjaScript.Indicators.Indicator>',CS0029,453,43,
DataExtractorcs.cs,The name 'Draw' does not exist in the current context,CS0103,690,21,
DataExtractorcs.cs,The name 'TextPosition' does not exist in the current context,CS0103,690,121,
DataExtractorcs.cs,The name 'Draw' does not exist in the current context,CS0103,710,17,
DataExtractorcs.cs,The name 'TextPosition' does not exist in the current context,CS0103,710,77,
DataExtractorcs.cs,The name 'Draw' does not exist in the current context,CS0103,758,25,
DataExtractorcs.cs,The name 'TextPosition' does not exist in the current context,CS0103,758,80,
